@relation 'SMILEfeatures-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N 40-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ChiSquaredAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 40-weka.filters.MultiFilter-Fweka.filters.supervised.attribute.AttributeSelection -E \"weka.attributeSelection.CfsSubsetEval \" -S \"weka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N 40\"-Fweka.filters.supervised.attribute.AttributeSelection -E \"weka.attributeSelection.ChiSquaredAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 40\"'

@attribute F0finEnv_sma_quartile2 numeric
@attribute F0finEnv_sma_amean numeric
@attribute F0finEnv_sma_quartile1 numeric
@attribute F0final_sma_quartile2 numeric
@attribute F0final_sma_amean numeric
@attribute F0final_sma_quartile3 numeric
@attribute F0finEnv_sma_quartile3 numeric
@attribute F0final_sma_quartile1 numeric
@attribute F0finEnv_sma_linregc2 numeric
@attribute F0finEnv_sma_percentile99.0 numeric
@attribute voicingFinalUnclipped_sma_percentile99.0 numeric
@attribute voicingFinalUnclipped_sma_pctlrange0-1 numeric
@attribute mfcc_sma[11]_amean numeric
@attribute mfcc_sma[11]_linregc2 numeric
@attribute mfcc_sma[11]_percentile99.0 numeric
@attribute mfcc_sma[14]_quartile1 numeric
@attribute lspFreq_sma_de[5]_linregerrA numeric
@attribute mfcc_sma[12]_amean numeric
@attribute mfcc_sma[12]_linregc2 numeric
@attribute mfcc_sma[12]_quartile1 numeric
@attribute mfcc_sma[11]_percentile1.0 numeric
@attribute lspFreq_sma[7]_quartile2 numeric
@attribute lspFreq_sma[7]_quartile1 numeric
@attribute lspFreq_sma[7]_amean numeric
@attribute lspFreq_sma_de[4]_percentile99.0 numeric
@attribute F0finEnv_sma_de_linregc1 numeric
@attribute lspFreq_sma_de[5]_pctlrange0-1 numeric
@attribute mfcc_sma[12]_percentile1.0 numeric
@attribute mfcc_sma[12]_percentile99.0 numeric
@attribute lspFreq_sma[4]_skewness numeric
@attribute mfcc_sma[2]_iqr1-2 numeric
@attribute voicingFinalUnclipped_sma_quartile2 numeric
@attribute mfcc_sma[5]_linregerrA numeric
@attribute mfcc_sma[2]_pctlrange0-1 numeric
@attribute lspFreq_sma[6]_skewness numeric
@attribute mfcc_sma[10]_quartile3 numeric
@attribute mfcc_sma[10]_amean numeric
@attribute jitterDDP_sma_de_linregc1 numeric
@attribute mfcc_sma[13]_percentile99.0 numeric
@attribute mfcc_sma_de[9]_percentile99.0 numeric
@attribute gender {m,f}

@data
107.041,147.1744,96.51923,100.858,114.2347,132.0993,156.8774,66.29755,163.0543,422.3434,0.804859,0.595067,-6.002518,-6.019212,20.50418,-15.11251,0.032547,-15.42585,-17.83182,-21.6095,-30.15174,2.265453,2.197134,2.253585,0.117009,-0.014819,0.20284,-42.62458,4.532581,1.173908,8.525492,0.673607,10.29177,64.28583,-0.301046,10.65233,2.913235,-0.000008,30.10522,8.516062,m
109.0911,110.8227,99.24927,102.777,100.6864,119.3831,120.2493,91.7169,124.2278,148.116,0.788804,0.423062,-2.75346,-10.29375,28.43686,-14.18294,0.02503,-12.49971,-7.801353,-19.50434,-26.95266,2.275448,2.224532,2.262616,0.091049,-0.005697,0.138735,-40.10972,10.30282,0.26726,9.223492,0.734831,11.2488,52.4486,-1.254963,7.103131,0.493778,-0.000002,25.7173,10.29292,m
147.9875,158.9566,136.7226,131.8284,141.9658,169.578,162.4184,103.6739,174.6882,254.2175,0.787088,0.787088,3.860674,7.695852,57.05055,-15.85337,0.01842,-8.919172,-24.58374,-17.99157,-23.06758,2.213091,2.088968,2.185789,0.086843,-0.008005,0.134881,-36.68177,19.00792,0.051259,6.367929,0.703292,10.59911,60.07533,-0.731503,-4.368705,-15.27553,-0.000015,34.76699,8.811566,m
157.7621,167.5437,143.6134,151.06,157.4623,176.8562,175.9584,133.2747,149.0076,317.1458,0.793413,0.569916,8.841491,5.719934,47.13549,-14.91421,0.023425,-14.65683,-14.24817,-21.50131,-23.89606,2.092634,2.033698,2.132145,0.110623,-0.008731,0.146345,-39.60995,10.8936,0.985555,13.77286,0.744972,16.08982,68.02734,0.433028,-0.395466,-10.77645,-0.000008,26.46719,9.633352,m
148.6882,160.7788,142.3764,145.1082,138.7445,157.3064,171.5063,107.8199,158.7191,223.5721,0.823931,0.823931,-8.243788,-14.9849,14.57385,-17.36887,0.023927,-1.464688,-1.765143,-5.933213,-39.12375,2.296039,2.256357,2.287861,0.087184,-0.003406,0.164949,-18.449,16.38939,1.030217,11.24649,0.72808,11.4974,69.53294,-1.212023,8.528067,-2.226931,-0.000002,20.15178,7.195663,f
165.0134,162.7758,136.577,143.2111,147.9129,188.2627,190.4375,126.3204,140.1924,226.1822,0.820476,0.820476,-10.2034,-10.62473,15.91358,-19.64414,0.020465,-4.070781,-2.182045,-9.97969,-41.24639,2.278331,2.206681,2.251249,0.06555,-0.010168,0.128459,-37.5778,15.93075,0.445577,7.931807,0.732642,13.22317,60.21489,-0.876529,-3.541897,-11.35299,-0.000002,26.91196,7.907184,f
190.9369,191.6167,172.061,182.3392,165.0536,214.0856,213.6874,123.865,192.265,242.0062,0.836914,0.647806,3.962638,1.617381,25.48006,-12.21319,0.012501,-0.745093,-0.78558,-5.233643,-24.01556,2.249495,2.207767,2.240192,0.054114,-0.005687,0.077143,-16.86416,19.1867,-0.709597,10.97358,0.724175,12.3394,56.84411,-1.087976,10.05564,4.437172,-0.000002,14.22936,6.135073,f
193.1451,200.5421,186.1469,187.5941,171.4817,206.8988,214.998,134.7949,209.4873,335.9753,0.843707,0.645423,1.697621,-1.930748,24.06124,-14.61751,0.015687,-6.365821,-5.89283,-11.19503,-17.7186,2.27213,2.238362,2.266775,0.072899,-0.021347,0.10514,-34.05974,10.84279,0.296432,14.07664,0.738409,12.65718,57.49412,-0.662144,15.32154,6.597391,-0.000005,16.12865,6.640128,f
98.59975,107.5648,94.66543,93.84722,86.05164,102.7696,108.0411,61.24461,88.31776,161.909,0.792617,0.792617,4.459802,7.12162,32.05982,-6.002739,0.023127,-5.401173,-8.359192,-11.94945,-17.59394,2.214081,2.115155,2.19788,0.085442,-0.009769,0.160672,-18.4546,17.44334,1.164816,10.83658,0.677615,11.11046,56.47422,0.00437,10.08034,3.364466,-0.000004,35.40607,7.445958,m
130.571,125.3787,115.5418,122.9856,113.912,136.4502,138.4768,103.0576,132.4043,154.267,0.792278,0.792278,11.40064,18.94103,37.59591,-9.069925,0.017087,-12.91048,-13.10673,-19.57305,-18.14563,2.238182,2.155085,2.21959,0.050715,-0.010955,0.106634,-37.76109,5.874245,0.118702,11.75713,0.729642,12.48814,56.98709,-0.303808,9.992638,3.436817,-0.000001,33.65428,9.593142,m
